,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
658,Ruben Bemelmans,0.9982220068591307,0.0013769628126782418,0.0001842004876163593,0.0002168298405745,0
659,Ruben Gonzales,2.212653238224219e-14,1.0905625277857826e-53,0.9999999999999787,5.295295717822615e-98,2
660,Ruben Ramirez Hidalgo,0.0,3.5682518000767214e-34,0.003475937752872541,0.9965240622471272,3
661,Rudolf Molleker,0.9959450076219732,0.000328846416463403,0.0004200886202137757,0.0033060573413494576,0
662,Rudy Coco,0.9999963107118524,2.6703701600092963e-21,1.27793470611024e-06,2.4113534417549858e-06,0
663,Ryan Harrison,0.9996362289753381,1.1350673650464762e-10,3.5791662050092497e-06,0.00036019174495033476,0
664,Ryan Seggerman,0.9996452445197767,1.7016537970983894e-20,0.0003535658810299902,1.1895991935897608e-06,0
665,Saidalo Saidkarimov,0.9999966460847713,2.5133100868369125e-11,2.779118465696713e-06,5.747716300763759e-07,0
666,Salvatore Caruso,0.6116625033173753,0.38222976360045113,4.4044718366577826e-05,0.006063688363807187,0
667,Sam Querrey,0.04086067609559508,0.9588255033393115,0.0003074226561655079,6.397908927574262e-06,1
668,Samuel Groth,9.769752354321212e-18,7.086350167856874e-51,1.0,6.076914508085059e-101,2
669,Sanam Singh,0.9998800165777304,3.9848185499179456e-18,3.299795297338397e-06,0.00011668362697262973,0
670,Sandro Ehrat,0.9551518918803743,0.03658131828473106,0.000150201688332974,0.008116588146561384,0
671,Sanjar Fayziev,0.999450934698572,1.5015409609089775e-10,0.0005479792781785826,1.0858730951764058e-06,0
672,Santiago Giraldo,0.5749751311750712,0.4139604298086368,2.178972231319972e-05,0.011042649293979053,0
673,Sargis Sargsian,0.999803401371866,8.070037769047401e-08,0.00019649578600217283,2.2141754512451818e-08,0
674,Sascha Gueymard Wayenburg,0.9966815725456708,4.76630714323588e-08,5.7803476728484124e-06,0.003312599443584495,0
675,Scott Griekspoor,0.0,5.0475336977908925e-74,0.0013298604399134845,0.9986701395600865,3
