player,return_points_won_percent,winners_percent,unforced_percent,aces_and_unret_percentage,net_frequency,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct
Rogerio Dutra Silva,4.443725179650122,1.0326658943780485,-2.9938932973229244,-0.03251307444949739,-0.33829173456099254,0.30502373378266423,1.1464554896536576,0.604371198488191,-1.1012814321097257,-0.22329976467846316
Roman Andres Burruchaga,1.2152207263962473,-0.023244488671931636,-0.009683761356558306,-1.2284591597085954,-0.4882419054710548,0.08799316913805802,0.039980577099563826,-0.06695617580755055,-0.4503683464342787,1.5739393935951258
Roman Safiullin,-0.25717141716072656,0.6566018074034548,0.5380095822592527,0.644808264582764,-0.26374803395413254,0.0344787851666596,-0.1297435700259258,0.309314728966145,0.16546110522952628,-0.19966260568076047
Roy Smith,-1.9593604912889824,1.927033521364839,1.6798629828389653,0.6242779984314893,0.7878529059030127,0.6848272188722968,1.5727008570093168,1.0392735845084882,-1.5728875019161173,1.3370939231249632
Ruben Bemelmans,-0.6742826528300171,-0.6163681369667551,0.46152894439176867,0.626499196128538,-0.0028095485541226525,-1.0926530913471837,-0.43291572416792506,-0.47592911064859317,0.46638678048027127,-1.1664292828086464
Ruben Gonzales,-2.6664254728424055,0.22232976103907878,-0.19685163217404442,1.3059635716555469,3.781741925417649,-1.069503163479462,0.335580284069145,-0.5015188106729603,-0.29641474019607883,1.4821884455751535
Ruben Ramirez Hidalgo,0.3310387234652327,-1.1773112507256256,1.0430621192226643,-0.619564235021886,-0.7379082748751368,0.08799316913805802,-0.2525273414530505,-1.1486586699446375,0.1465398226433293,-1.1019500198344399
Rudolf Molleker,-0.9863984472391714,-0.4243808069141376,-0.0013483501055760099,0.26237774109384043,-0.5063990650517286,0.30502373378266423,0.05811965002724132,-0.6962582688440051,-0.021010064951886974,0.2975002047412617
Rudy Coco,-0.47301107344140825,0.9343530546714819,4.088886982581791,-0.6938441777881876,-0.20043785222860674,-0.4545832363966009,-0.4648286603938596,1.7647050234849682,0.4980632446667719,-1.0220727239111693
Ryan Harrison,-0.8976012296365433,-0.27326858484965705,-0.9362863232891989,1.0688783415279355,-0.2485248714761407,-1.9737971767551314,0.02046400902631,-0.5597551059707043,0.01636655107432433,0.5522079627319316
Ryan Seggerman,2.0214535166823295,1.575487214467295,1.3526928997760372,-0.49405674552020334,0.8944953919628497,0.001180945710957904,2.1103957011506305,1.8712369131248705,-2.058078931758083,-0.6569193711190748
Saidalo Saidkarimov,0.817548346878934,0.8005383561819894,-0.7381060890117477,0.2756887848510066,-0.6260200439120491,-1.214190206575866,0.9577419443550292,1.4569462311919164,-0.9139662375178329,-1.8208456831438755
Salvatore Caruso,0.7416611620302151,-0.713026745516546,-0.11149335620796354,-0.5692455641156803,-0.4207619300653968,0.30502373378266423,0.8394806149984343,-1.2536985163122727,-0.7965812141689701,-0.6034055176926474
Sam Querrey,-0.21538642275924488,1.430669185332777,-0.15790078670446417,1.9558022346882455,0.13348362527608387,-0.45145728356235165,-0.18810152614512118,0.9963133211219375,0.22338663404704565,0.4700117280540817
Samuel Groth,-1.4831494786453092,0.9758782787068857,-1.587478961333589,2.2463486119603617,4.085566681892059,-0.21798434544037068,-1.5481853012934121,1.4002538220853018,1.573392308520635,1.5739393935951258
Sanam Singh,-2.367050708526931,-1.221975229559204,0.1420207234113013,-1.0517338128049625,-0.14697058737647392,-1.214190206575866,-0.9129677648431761,0.12798780992646464,0.942881677924037,0.6233995721082058
Sandro Ehrat,0.9560091753748408,0.016766550743530003,0.9094669404722296,0.2680571197635649,-0.4955878482781186,-0.4545832363966009,-0.7459567401757277,-0.19444241038055796,0.7771081902018394,-0.6829288976447688
Sanjar Fayziev,0.08438691074486804,-1.4579260448549636,0.956453443557592,-1.1256428217222194,0.43702902856178033,-0.07477975130696835,-0.07190529329546629,-0.14423126925166493,0.10805140502236023,-1.8208456831438755
Santiago Giraldo,0.7627409355993036,-0.7476067085248638,0.4033650862059028,-1.008774532031296,-0.6460345242033882,0.4738252840618024,-0.4519173070741546,-0.8978748310503758,0.48524756333505664,-0.20214021608951746
Sargis Sargsian,1.7571039688154462,-0.19150143863485233,-0.642736310575815,0.12212479223786206,0.48211393921789175,-0.201380910977894,-1.9874557973325069,-0.9167253051108785,2.009407848972874,0.8168290527396653
Sascha Gueymard Wayenburg,0.27154243828186564,-1.2613003654418313,2.0528051822160616,-1.4414358598232275,-0.45751441440411134,-1.214190206575866,-0.45297540481735793,-0.25940087967318143,0.4862978206674157,-1.1361831466586987
Scott Griekspoor,0.2445124428067634,-0.3722103367911448,0.6012173211972397,-0.4910775659154769,-0.30904123124695937,0.6088665218543706,0.7487009659875629,0.23228476481867685,-0.9282760308403611,-0.02120058222199509
Scoville Jenkins,-1.648785160704412,1.4455465511491115,2.0909668090874223,-0.345607026754771,1.1757077505689972,-1.3010024300029663,1.0709813954793166,1.9669959150483787,-1.026366594308647,0.13455052105778947
Sebastian Baez,0.8121495517484865,-0.05028784762043548,0.1560765149325626,-0.627770914806216,-0.5004472050633164,0.15497791266273178,0.43879129229892283,-0.40620819812526837,-0.42116464742972437,-0.14308084243015984
Sebastian Fanselow,3.2290744431826495,1.2010933174412357,-1.6350889552978938,1.4505635417333762,-0.6003703123731451,1.8242376741411948,-1.2572720068923342,0.8685838341610813,1.2846346559426243,1.4122829613694594
