,player,Kmeans_cluster,hierarchial_cluster,GMM_Cluster,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3
101,Bernard Tomic,1,2,1,1.6346822099253703e-11,0.9997806352900682,0.0001768608523812,4.250384120371562e-05
102,Billy Harris,0,0,0,0.9970694486311236,3.4261149982105866e-08,3.183375020833515e-05,0.0028986833575179
103,Bjorn Fratangelo,2,2,0,0.9999101012228664,4.930871832791343e-49,8.98987771336745e-05,8.783609986490652e-16
104,Bjorn Phau,0,0,0,0.9979413790010006,4.046664786919375e-06,4.395099946653837e-05,0.002010623334746
105,Blaz Kavcic,0,0,3,1.059508594535263e-309,9.967704400485553e-18,4.534419476615315e-05,0.9999546558052332
106,Blaz Rola,3,0,0,0.9979894941747056,8.106713588004708e-10,6.057896205999906e-08,0.0020104444356608
107,Bob Bryan,2,3,2,7.672833900799186e-16,1.3655985181580026e-48,1.0,5.329066723560508e-93
108,Bobby Reynolds,3,2,0,0.9889374934467628,0.0087916155319861,0.0021737360671359,9.715495411563532e-05
109,Bohdan Ulihrach,0,0,0,0.9993134916530632,2.2097589221902999e-13,7.737114391538534e-08,0.0006864309755723
110,Borna Coric,1,0,1,7.231435149507057e-78,0.998807718325054,2.533376781952132e-05,0.0011669479071264
111,Borna Gojo,1,0,0,0.9983032811667876,7.376734729106108e-06,0.0010941420926731,0.0005952000058099
112,Botic Van De Zandschulp,1,0,1,7.311391341674482e-119,0.9619169904031328,0.0002835009210436,0.0377995086758235
113,Bradley Klahn,0,0,0,0.9987474532024072,7.924159219865119e-11,2.0988840465489532e-08,0.0012525257295104
114,Brandon Holt,0,0,1,3.0589155733883743e-61,0.8392386032296771,0.0005613975941578,0.1601999991761655
115,Brandon Nakashima,1,2,1,0.0060019764761012,0.9939406249788691,3.69869330187522e-05,2.0411612010945078e-05
116,Brayden Schnur,1,2,1,0.3400206858936437,0.6588843672227017,0.0010594218199211,3.5525063733371306e-05
117,Brian Battistone,2,3,2,5.2965108237313325e-45,3.639245370804909e-143,1.0,1.6454518496283802e-227
118,Bruno Kuzuhara,3,0,0,0.9820428831824378,0.0109465115787434,6.005252469694189e-05,0.0069505527141217
119,Bu Yunchaokete,0,0,0,0.9994747949539377,4.784630678240972e-06,4.912717666080071e-06,0.0005155076977183
120,Cameron Norrie,3,0,1,0.0571202441304235,0.9419527124520192,3.584675119988996e-05,0.0008911966663574
121,Camilo Ugo Carabelli,3,0,3,0.0,1.0209829977864842e-186,1.522713708959847e-06,0.9999984772862912
122,Carlos Alcaraz,1,0,1,1.0611500312905068e-25,0.9833636610340626,0.000302691554575,0.0163336474113623
123,Carlos Berlocq,0,0,3,0.0,1.8803134060051684e-08,0.0048835822855179,0.995116398911348
