player_name,rating,last_match
August Holmgren,1525.382371137865,2024-09-14
Francisco Comesana,1525.3797925876981,2024-08-26
Thomas Yaka Kofi Setodji,1525.3283751668757,2024-09-14
Karsten Braasch,1525.233085932265,2000-06-19
Jurabek Karimov,1525.1988797262782,2019-09-13
Andrei Luzgin,1525.1292413331557,2005-03-04
Treat Conrad Huey,1524.751733174277,2015-03-06
Alejandro Falla,1524.56323906582,2017-02-06
Matej Dodig,1524.398039172568,2024-09-13
Yuri Schukin,1524.2710604078009,2011-01-31
Go Soeda,1524.1730739349885,2020-08-31
Francis Casey Alcantara,1524.1553023532165,2016-07-15
Thomas Enqvist,1524.0802925460932,2005-10-24
Kim Tiilikainen,1523.938177049374,2003-07-11
Dimitri Mazur,1523.5408095015944,2004-04-09
Lukas Pokorny,1523.2990393452021,2024-02-02
Frank Dancevic,1523.2190605891656,2017-07-17
Demetris Azoides,1523.0813173822528,2024-09-14
Benjamin Balleret,1522.871498637565,2024-09-14
Elias Ymer,1522.72737789669,2024-10-14
Yuichi Sugita,1522.698449125039,2021-08-30
Jae Sung An,1522.6659981821435,2008-02-08
Suwandi Suwandi,1522.532101250944,2006-09-22
Nicolas Alvarez,1522.424291280967,2022-09-17
Antoine Bellier,1522.1737674381538,2023-02-06
Mikael Tillstrom,1522.1038795295765,2000-10-16
Mose Navarra,1521.7205003018432,2002-04-05
Carlos Cuadrado,1521.7191847731476,2006-04-24
Cedric Pioline,1521.614319084665,2002-10-21
Carsten Ball,1521.561810826114,2011-01-17
Marsel Ilhan,1521.3040081859538,2021-01-05
Raven Klaasen,1521.2204129572028,2011-09-16
Yannick Maden,1521.1123211687996,2020-02-03
Matteo Donati,1521.0579102598385,2015-05-10
Patrik Rosenholm,1520.95802715364,2017-02-03
Adam Thompson,1520.524538305535,2009-03-06
Claude Ngoran,1520.3451016124889,2005-07-15
Vladimir Voltchkov,1520.2217438420032,2008-07-18
Alexander Bury,1520.1715383816988,2012-09-14
Daniele Bracciali,1519.8900558200546,2011-09-16
Roberto Marcora,1519.5658413781719,2021-10-04
Sebastien Grosjean,1519.2686422748136,2010-02-22
Louk Sorensen,1519.2573764065983,2014-07-07
Shahab Hassani Nafez,1519.20420077805,2007-02-09
Mik Ledvonova,1519.1516494301486,2003-07-11
Manuel Guinard,1519.108127044703,2024-11-04
Rainer Eitzinger,1519.1044112639404,2008-05-18
Wishaya Trongcharoenchaikul,1518.8724527479103,2024-02-03
David Sanchez,1518.7995271584123,2005-09-26
Mathieu Rodrigues,1518.6175391892518,2011-09-19
Marcus Willis,1518.3732646685735,2016-06-27
Marc Lopez,1518.0549285133727,2016-09-16
Jorge Aguilar,1518.0271347159933,2014-04-04
Teymuraz Gabashvili,1517.8672005411531,2017-10-16
Yanaki Milev,1517.8476441727285,2024-09-14
Mohamed Safwat,1517.7948475142127,2024-09-13
Brian Baker,1517.7728875279843,2016-08-29
Carlos Avellan,1517.6183193832335,2009-05-08
Abdullah Maqdas,1517.5209860380523,2017-02-03
Aristotelis Thanos,1517.484985590013,2024-09-14
Luis Felipe Noriega,1517.4358728782763,2002-07-12
Luis Diego Chavez Villalpando,1517.4014098419918,2018-02-03
Jose Bernard,1517.398099044803,2004-02-06
Kasper Warming,1517.3420209649414,2002-05-03
Chris Brandi,1517.2383156253604,2011-07-08
Christian Garay,1517.1923189430725,2015-07-17
Martin Sayer,1517.1886996168405,2011-03-04
Yuttana Charoenphon,1517.0758402072786,2023-02-03
Alex Knaff,1517.0238291869766,2024-09-14
Mathieu Montcourt,1516.7962367946398,2009-05-25
Santiago Giraldo,1516.7385311028709,2020-03-06
Iliyan Radulov,1516.736306793522,2024-09-14
Balazs Veress,1516.7338261188868,2002-07-12
Matt Klinger,1516.7024671725246,2003-04-04
Paul Haarhuis,1516.6600897826454,2000-07-14
Julien Boutter,1516.6302304272165,2004-06-21
Aissa Benchakroun,1516.5557385421955,2020-03-06
Michael Lai,1516.4914953695832,2009-03-06
Ergi Kirkin,1516.471242314303,2023-02-03
Jack Loutit,1516.423697665873,2024-09-14
